hpd_max,hpd_min,mass_frac,mode,operator,parameter,repressors
170.47056483128844,137.28181159699272,0.95,153.3348816144535,O2,ka,1220.0
0.5607561052737734,0.48630426200141497,0.95,0.5228842529867549,O2,ki,1220.0
277.3666357379453,193.20977166579485,0.95,230.65050807287403,O1,ka,60.0
0.9409272395746338,0.8163515919759945,0.95,0.8760176203315702,O1,ki,60.0
167.39657810217815,116.82128492063019,0.95,139.6039004314781,O2,ka,260.0
0.5780416076554511,0.4953974695070952,0.95,0.5350654268293414,O2,ki,260.0
95.33018407513039,2.131856243507622,0.95,7.409998629698045,O3,ka,260.0
0.26913275725436836,0.07656092679264191,0.95,0.13345031005623542,O3,ki,260.0
228.95065377996454,169.62232229303874,0.95,197.86756070328246,O2,ka,1740.0
0.6334445818663279,0.5200241743819547,0.95,0.5744918542581106,O2,ki,1740.0
80.49141940175552,23.136638014897986,0.95,40.893143119548135,O3,ka,1220.0
0.5298811961782928,0.32810116653089205,0.95,0.41489625031905597,O3,ki,1220.0
184.21026202789045,87.66992333109292,0.95,124.2180187937777,O2,ka,60.0
0.7332282030872502,0.5819494536781763,0.95,0.6499626124327801,O2,ki,60.0
216.85022576497192,170.72091079474086,0.95,191.9327707829693,O1,ka,124.0
0.7907151117786247,0.6949796085274088,0.95,0.7400545511183194,O1,ki,124.0
625.1568712968159,0.5692372660370932,0.95,5.558463728461996,O3,ka,60.0
0.28261217373627107,0.05193422574240839,0.95,0.11691996450820999,O3,ki,60.0
75.4463264478137,24.527593039222214,0.95,42.392546005960845,O3,ka,1740.0
0.6774276686053469,0.3766767170529888,0.95,0.5054552609400957,O3,ki,1740.0
204.5833956193006,161.37963126664263,0.95,182.0873052642563,O1,ka,260.0
0.7273510846512132,0.6217849129177248,0.95,0.6730263652570538,O1,ki,260.0
1083.2247803476475,305.52307289396356,0.95,719.652229065442,O1,ka,22.0
0.8946406642019495,0.7262528272262908,0.95,0.8275929807387786,O1,ki,22.0
229.90103464177048,0.743297196440004,0.95,4.768310191816305,O3,ka,124.0
0.18362551157506804,0.051116616121686664,0.95,0.09665188303411922,O3,ki,124.0
167.12184309444115,102.55788954000097,0.95,130.30705879353812,O2,ka,124.0
0.6037537844423347,0.5074055208296187,0.95,0.5527865653380092,O2,ki,124.0
149.70800131227128,117.72251699348355,0.95,133.25459577030307,O1,ka,1220.0
0.47898997086585526,0.39384489686990826,0.95,0.43557300517108016,O1,ki,1220.0
901.265904210453,58.34529646050445,0.95,149.32533803702145,O2,ka,22.0
0.40840595963971027,0.33142585568689387,0.95,0.3631099613387216,O2,ki,22.0
160.48187992196827,116.55777656640356,0.95,137.73772710061255,O1,ka,1740.0
0.4389471921690076,0.3385277507800069,0.95,0.3871821250018035,O1,ki,1740.0
658.1211812689656,0.013048929947694948,0.95,1.0143894175704045,O3,ka,22.0
0.179586367472449,0.0009145539424310618,0.95,0.03771616602476625,O3,ki,22.0
